Reads	Reads	Total	Mut_freq
MT	WT		
1.0	194.0	195.0	0.005128205128205128
4.0	215.0	219.0	0.0182648401826484
14.0	3884.0	3898.0	0.0035915854284248334
1.0	435.0	436.0	0.0022935779816513763
5.0	457.0	462.0	0.010822510822510822
3.0	3991.0	3994.0	0.0007511266900350526
8.0	192.0	200.0	0.04
0.0	161.0	161.0	0.0
0.0	149.0	149.0	0.0
0.0	226.0	226.0	0.0
16.0	1893.0	1909.0	0.008381351492928235
2.0	151.0	153.0	0.013071895424836602
1.0	154.0	155.0	0.0064516129032258064
12.0	4728.0	4740.0	0.002531645569620253
3.0	205.0	208.0	0.014423076923076924
0.0	233.0	233.0	0.0
15.0	2300.0	2315.0	0.0064794816414686825
4.0	146.0	150.0	0.02666666666666667
1.0	361.0	362.0	0.0027624309392265192
2.0	445.0	447.0	0.0044742729306487695
15.0	3328.0	3343.0	0.004486987735566856
1.0	165.0	166.0	0.006024096385542169
3.0	550.0	553.0	0.0054249547920434
2.0	641.0	643.0	0.003110419906687403
0.0	529.0	529.0	0.0
3.0	1661.0	1664.0	0.0018028846153846155
1.0	1738.0	1739.0	0.0005750431282346176
0.0	181.0	181.0	0.0
14.0	1547.0	1561.0	0.008968609865470852
1.0	2067.0	2068.0	0.00048355899419729207
8.0	129.0	137.0	0.058394160583941604
3.0	4774.0	4777.0	0.0006280092108017584
2.0	642.0	644.0	0.003105590062111801
0.0	287.0	287.0	0.0
1.0	280.0	281.0	0.0035587188612099642
1.0	198.0	199.0	0.005025125628140704
2.0	236.0	238.0	0.008403361344537815
13.0	3446.0	3459.0	0.0037583116507661175
0.0	273.0	273.0	0.0
1.0	242.0	243.0	0.00411522633744856
0.0	173.0	173.0	0.0
14.0	224.0	238.0	0.058823529411764705
0.0	110.0	110.0	0.0
2.0	6886.0	6888.0	0.00029036004645760743
14.0	1265.0	1279.0	0.0109460516028147
23.0	254.0	277.0	0.08303249097472924
2.0	339.0	341.0	0.005865102639296188
2.0	5005.0	5007.0	0.0003994407829039345
2.0	131.0	133.0	0.015037593984962405
1.0	4890.0	4891.0	0.00020445716622367614
1.0	357.0	358.0	0.002793296089385475
1.0	370.0	371.0	0.0026954177897574125
0.0	129.0	129.0	0.0
6.0	235.0	241.0	0.024896265560165973
0.0	115.0	115.0	0.0
1.0	164.0	165.0	0.006060606060606061
7.0	516.0	523.0	0.01338432122370937
20.0	165.0	185.0	0.10810810810810811
0.0	239.0	239.0	0.0
2.0	303.0	305.0	0.006557377049180328
1.0	111.0	112.0	0.008928571428571428
10.0	1716.0	1726.0	0.005793742757821553
6.0	149.0	155.0	0.03870967741935484
4.0	140.0	144.0	0.027777777777777776
77.0	43.0	120.0	0.6416666666666667
417.0	15.0	432.0	0.9652777777777778
9.0	613.0	622.0	0.014469453376205787
1.0	251.0	252.0	0.003968253968253968
61.0	50.0	111.0	0.5495495495495496
85.0	94.0	179.0	0.4748603351955307
50.0	1118.0	1168.0	0.04280821917808219
14.0	1334.0	1348.0	0.010385756676557863
81.0	41.0	122.0	0.6639344262295082
854.0	111.0	965.0	0.8849740932642487
18.0	2147.0	2165.0	0.008314087759815243
10.0	1858.0	1868.0	0.0053533190578158455
208.0	178.0	386.0	0.538860103626943
91.0	714.0	805.0	0.11304347826086956
15.0	975.0	990.0	0.015151515151515152
10.0	384.0	394.0	0.025380710659898477
93.0	116.0	209.0	0.4449760765550239
188.0	198.0	386.0	0.48704663212435234
122.0	1172.0	1294.0	0.09428129829984544
24.0	396.0	420.0	0.05714285714285714
57.0	83.0	140.0	0.40714285714285714
41.0	80.0	121.0	0.33884297520661155
33.0	2069.0	2102.0	0.01569933396764986
7.0	1652.0	1659.0	0.004219409282700422
209.0	89.0	298.0	0.7013422818791947
39.0	82.0	121.0	0.32231404958677684
31.0	7936.0	7967.0	0.0038910505836575876
14.0	2178.0	2192.0	0.006386861313868613
605.0	400.0	1005.0	0.6019900497512438
70.0	331.0	401.0	0.1745635910224439
54.0	2965.0	3019.0	0.017886717456111294
9.0	1331.0	1340.0	0.006716417910447761
256.0	78.0	334.0	0.7664670658682635
143.0	982.0	1125.0	0.12711111111111112
14.0	2854.0	2868.0	0.0048814504881450485
5.0	339.0	344.0	0.014534883720930232
64.0	132.0	196.0	0.32653061224489793
40.0	73.0	113.0	0.35398230088495575
14.0	3782.0	3796.0	0.0036880927291886197
5.0	1366.0	1371.0	0.0036469730123997084
71.0	54.0	125.0	0.568
510.0	738.0	1248.0	0.40865384615384615
85.0	5792.0	5877.0	0.01446316147694402
36.0	285.0	321.0	0.11214953271028037
236.0	78.0	314.0	0.7515923566878981
433.0	1341.0	1774.0	0.24408117249154454
13.0	1416.0	1429.0	0.009097270818754374
17.0	1953.0	1970.0	0.008629441624365483
130.0	248.0	378.0	0.3439153439153439
57.0	91.0	148.0	0.38513513513513514
103.0	3722.0	3825.0	0.026928104575163397
23.0	2435.0	2458.0	0.00935720097640358
89.0	415.0	504.0	0.1765873015873016
41.0	125.0	166.0	0.2469879518072289
53.0	1077.0	1130.0	0.046902654867256637
32.0	439.0	471.0	0.06794055201698514
77.0	79.0	156.0	0.4935897435897436
32.0	94.0	126.0	0.25396825396825395
5.0	600.0	605.0	0.008264462809917356
8.0	1706.0	1714.0	0.004667444574095682
89.0	109.0	198.0	0.4494949494949495
69.0	68.0	137.0	0.5036496350364964
8.0	947.0	955.0	0.008376963350785341
16.0	388.0	404.0	0.039603960396039604
78.0	71.0	149.0	0.5234899328859061
412.0	99.0	511.0	0.8062622309197651
92.0	2588.0	2680.0	0.034328358208955224
46.0	1767.0	1813.0	0.0253723110865968
59.0	132.0	191.0	0.3089005235602094
31.0	82.0	113.0	0.2743362831858407
15.0	6168.0	6183.0	0.0024260067928190197
16.0	1604.0	1620.0	0.009876543209876543
410.0	371.0	781.0	0.5249679897567221
31.0	259.0	290.0	0.10689655172413794
16.0	3887.0	3903.0	0.004099410709710479
28.0	2076.0	2104.0	0.013307984790874524
301.0	578.0	879.0	0.3424345847554039
44.0	1958.0	2002.0	0.02197802197802198
42.0	4357.0	4399.0	0.009547624460104568
32.0	1398.0	1430.0	0.022377622377622378
281.0	85.0	366.0	0.76775956284153
495.0	791.0	1286.0	0.3849144634525661
7.0	3272.0	3279.0	0.0021347971942665446
22.0	1776.0	1798.0	0.012235817575083427
379.0	403.0	782.0	0.4846547314578005
165.0	47.0	212.0	0.7783018867924528
3.0	1003.0	1006.0	0.002982107355864811
10.0	1257.0	1267.0	0.007892659826361484
93.0	61.0	154.0	0.6038961038961039
71.0	778.0	849.0	0.08362779740871613
60.0	3420.0	3480.0	0.017241379310344827
48.0	362.0	410.0	0.11707317073170732
130.0	108.0	238.0	0.5462184873949579
57.0	867.0	924.0	0.06168831168831169
11.0	739.0	750.0	0.014666666666666666
33.0	332.0	365.0	0.09041095890410959
57.0	46.0	103.0	0.5533980582524272
41.0	85.0	126.0	0.3253968253968254
90.0	3181.0	3271.0	0.027514521553041883
38.0	1179.0	1217.0	0.031224322103533278
221.0	224.0	445.0	0.4966292134831461
8.0	256.0	264.0	0.030303030303030304
42.0	2309.0	2351.0	0.01786473840918758
30.0	2491.0	2521.0	0.01190003966679889
112.0	99.0	211.0	0.5308056872037915
31.0	87.0	118.0	0.2627118644067797
6.0	848.0	854.0	0.00702576112412178
2.0	1754.0	1756.0	0.0011389521640091116
144.0	79.0	223.0	0.6457399103139013
69.0	77.0	146.0	0.4726027397260274
35.0	676.0	711.0	0.04922644163150492
4.0	206.0	210.0	0.01904761904761905
90.0	117.0	207.0	0.43478260869565216
34.0	1094.0	1128.0	0.030141843971631204
61.0	1821.0	1882.0	0.032412327311370885
19.0	887.0	906.0	0.02097130242825607
91.0	77.0	168.0	0.5416666666666666
58.0	491.0	549.0	0.10564663023679417
9.0	8167.0	8176.0	0.0011007827788649706
3.0	285.0	288.0	0.010416666666666666
195.0	599.0	794.0	0.2455919395465995
755.0	141.0	896.0	0.8426339285714286
111.0	2335.0	2446.0	0.045380212591986914
24.0	1716.0	1740.0	0.013793103448275862
77.0	778.0	855.0	0.09005847953216374
55.0	376.0	431.0	0.12761020881670534
23.0	3505.0	3528.0	0.006519274376417234
5.0	1066.0	1071.0	0.004668534080298786
166.0	382.0	548.0	0.3029197080291971
456.0	277.0	733.0	0.6221009549795361
23.0	5618.0	5641.0	0.00407729126041482
2.0	475.0	477.0	0.0041928721174004195
152.0	1282.0	1434.0	0.10599721059972106
69.0	1286.0	1355.0	0.05092250922509225
36.0	4801.0	4837.0	0.007442629729170974
5.0	1431.0	1436.0	0.003481894150417827
635.0	230.0	865.0	0.7341040462427746
636.0	210.0	846.0	0.75177304964539
3.0	2806.0	2809.0	0.001067995728017088
1.0	1576.0	1577.0	0.0006341154090044388
165.0	393.0	558.0	0.2956989247311828
35.0	74.0	109.0	0.3211009174311927
6.0	2047.0	2053.0	0.0029225523623964927
2.0	928.0	930.0	0.002150537634408602
129.0	79.0	208.0	0.6201923076923077
710.0	132.0	842.0	0.8432304038004751
55.0	1534.0	1589.0	0.034612964128382634
24.0	773.0	797.0	0.030112923462986198
165.0	249.0	414.0	0.39855072463768115
39.0	887.0	926.0	0.042116630669546434
15.0	1296.0	1311.0	0.011441647597254004
14.0	294.0	308.0	0.045454545454545456
83.0	83.0	166.0	0.5
65.0	110.0	175.0	0.37142857142857144
114.0	928.0	1042.0	0.10940499040307101
14.0	315.0	329.0	0.0425531914893617
66.0	76.0	142.0	0.4647887323943662
36.0	808.0	844.0	0.04265402843601896
4.0	2278.0	2282.0	0.0017528483786152498
17.0	302.0	319.0	0.05329153605015674
954.0	61.0	1015.0	0.9399014778325123
1997.0	55.0	2052.0	0.973196881091618
55.0	2588.0	2643.0	0.02080968596292092
26.0	901.0	927.0	0.028047464940668825
208.0	280.0	488.0	0.4262295081967213
74.0	752.0	826.0	0.08958837772397095
8.0	1476.0	1484.0	0.005390835579514825
15.0	450.0	465.0	0.03225806451612903
174.0	312.0	486.0	0.35802469135802467
104.0	100.0	204.0	0.5098039215686274
135.0	5975.0	6110.0	0.0220949263502455
46.0	432.0	478.0	0.09623430962343096
236.0	358.0	594.0	0.39730639730639733
55.0	96.0	151.0	0.36423841059602646
28.0	1779.0	1807.0	0.01549529607083564
18.0	1783.0	1801.0	0.009994447529150472
96.0	105.0	201.0	0.47761194029850745
50.0	102.0	152.0	0.32894736842105265
28.0	11054.0	11082.0	0.0025266197437285687
26.0	618.0	644.0	0.040372670807453416
1224.0	426.0	1650.0	0.7418181818181818
93.0	148.0	241.0	0.38589211618257263
72.0	4242.0	4314.0	0.016689847009735744
30.0	2416.0	2446.0	0.012264922322158627
