Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-196_J22_nBCs	838	325	137	1183
AS-196_J2_nBCs	11532	252	2302	143
AS-196_J4_nBCs	8503	273	128	367
AS-196_J6_nBCs	14431	300	598	149
AS-196_J8_nBCs	1114	236	1995	215
AS-196_J9_nBCs	3893	301	206	123
AS-196_K12_nBCs	278	219	1005	2170
AS-196_K13_nBCs	429	465	354	470
AS-196_K16_nBCs	2526	337	1273	349
AS-196_K17_nBCs	694	454	2675	2329
AS-196_K18_nBCs	895	460	466	3714
AS-196_K19_nBCs	219	336	384	444
AS-196_K20_nBCs	387	550	376	5565
AS-196_K22_nBCs	254	813	218	175
AS-196_K23_nBCs	116	1945	219	1496
AS-196_K2_nBCs	319	310	315	1995
AS-196_K3_nBCs	201	184	130	220
AS-196_K4_nBCs	1340	928	237	2116
AS-196_K6_nBCs	390	955	291	372
AS-196_K7_nBCs	725	176	279	648
AS-196_K8_nBCs	328	2294	346	502
AS-196_K9_nBCs	697	2741	2764	274
AS-196_L12_nBCs	793	1925	529	2529
AS-196_L13_nBCs	674	1649	765	2113
AS-196_L16_nBCs	567	2319	1841	243
AS-196_L17_nBCs	716	355	591	183
AS-196_L18_nBCs	14346	1710	1851	226
AS-196_L19_nBCs	339	269	544	604
AS-196_L20_nBCs	814	1442	1264	4085
AS-196_L2_nBCs	693	266	301	221
AS-196_L3_nBCs	297	156	144	3022
AS-196_L4_nBCs	348	185	183	121
AS-196_L6_nBCs	866	1346	6068	212
AS-196_L8_nBCs	11430	327	3594	325
AS-196_L9_nBCs	12488	368	355	295
AS-196_M12_nBCs	427	276	2637	263
AS-196_M13_nBCs	9950	2507	271	231
AS-196_M16_nBCs	2496	1879	230	2150
AS-196_M17_nBCs	680	499	431	1842
AS-196_M18_nBCs	2096	3793	982	875
AS-196_M19_nBCs	223	280	114	240
AS-196_M20_nBCs	470	2705	3215	299
AS-196_M22_nBCs	2764	4261	1144	1077
AS-196_M2_nBCs	285	272	734	203
AS-196_M4_nBCs	413	289	146	195
AS-196_M6_nBCs	372	269	377	885
AS-196_M8_nBCs	1973	298	323	1359
AS-196_M9_nBCs	702	1841	187	168
AS-196_N12_nBCs	500	1160	894	2788
AS-196_N13_nBCs	362	3810	1980	313
AS-196_N16_nBCs	394	1367	203	251
AS-196_N17_nBCs	735	2129	423	499
AS-196_N18_nBCs	18992	663	990	357
AS-196_N19_nBCs	161	308	107	3701
AS-196_N20_nBCs	512	3014	240	3677
AS-196_N22_nBCs	258	4376	391	119
AS-196_N2_nBCs	391	2919	801	305
AS-196_N3_nBCs	4059	185	195	212
AS-196_N4_nBCs	463	1030	471	3438
AS-196_N6_nBCs	432	383	269	2269
AS-196_N8_nBCs	356	2695	378	420
AS-196_N9_nBCs	648	438	137	4433
AS-196_O12_nBCs	253	470	1890	170
AS-196_O13_nBCs	160	233	123	105
AS-196_O16_nBCs	153	175	111	117
AS-196_O17_nBCs	322	414	124	127
AS-196_O18_nBCs	508	265	172	1412
AS-196_O20_nBCs	222	4186	1797	172
AS-196_O6_nBCs	227	168	115	129
AS-197_B12_CD34	1609	970	191	820
AS-197_B13_CD34	2418	350	265	130
AS-197_B18_CD34	1912	654	500	649
AS-197_B22_CD34	1983	203	227	528
AS-197_B23_CD34	959	629	148	317
AS-197_B9_CD34	1754	1292	348	120
AS-197_C12_CD34	625	347	482	118
AS-197_C13_CD34	655	604	104	867
AS-197_C16_CD34	1031	625	235	122
AS-197_C17_CD34	984	418	139	614
AS-197_C18_CD34	2872	1336	497	1018
AS-197_C19_CD34	2285	256	516	301
AS-197_C20_CD34	1559	707	393	252
AS-197_C22_CD34	766	286	111	115
