	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD34-PE	Lin-PE-Cy5	CD123-PE-Cy7	CD90-BV421	Zombie	CD45RA-FITC	IL1RAP-APC	CD38-APC-cy7	Time	Well	Plate	Plate_Well	CD34_pos	CD38_pos	CD38_neg	IL1RAP_pos	CD45RA_pos	CD45RA_neg	CD123_pos	CD123_neg	CD90_pos	CD90_neg	lsc	hsc	mpp	lmpp	cmp	gmp	mep	unassigned	celltype
42	121999.5	91358.83	87516.0	38702.82	84113.016	30155.0	1048.5801	482.87003	398.94	238.0	2392.0	2563.02	936.0	2072.0	11470.2	B5	not_seq	not_seq_B5	True	False	True	False	True	False	False	True	False	True	False	False	False	True	False	False	False	False	LMPP
43	146147.39	97524.85	98210.0	47056.56	79508.56	38787.0	558.08	1242.6001	1085.64	361.0	2307.0	8908.8	1628.0	4649.6	11701.3	B4	not_seq	not_seq_B4	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
44	113616.0	91204.53	81640.0	46423.2	77135.81	39442.0	786.98004	373.87003	275.77002	636.0	2530.0	246.21	371.2	1016.8	11883.8	B3	not_seq	not_seq_B3	True	False	True	False	False	True	False	True	True	False	False	True	False	False	False	False	False	False	HSC
45	109547.09	93347.7	76909.0	56765.76	78674.48	47286.0	478.51	1228.43	599.5	774.0	3356.0	7692.54	1331.2001	6069.6	12104.5	C2	not_seq	not_seq_C2	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
46	153514.8	106027.59	94888.0	46354.47	87612.805	34674.0	362.97	997.35004	983.18005	481.0	3189.0	3862.8	787.2	4625.6	12345.1	C1	not_seq	not_seq_C1	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
47	161155.8	102192.62	103349.0	66048.664	87186.84	49647.0	374.96002	377.14	655.09	610.0	2462.0	4243.86	844.8	4124.8003	12577.6	B1	not_seq	not_seq_B1	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
48	127992.59	110653.95	75805.0	51803.28	89895.14	37766.0	984.27	1153.2201	560.26	896.0	2290.0	437.61002	1764.8	6216.0	12796.2	D1	not_seq	not_seq_D1	True	True	False	True	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
49	144447.3	95688.86	98930.0	43540.89	78261.59	36461.0	1309.0901	1015.88	372.78	361.0	2174.0	362.79	1196.8	5017.6	13003.5	D2	not_seq	not_seq_D2	True	True	False	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	MEP
50	125206.195	97295.49	84336.0	37570.082	85617.67	28758.0	660.54004	1023.51	530.83	511.0	2244.0	1406.79	664.8	3631.2	13220.6	D3	not_seq	not_seq_D3	True	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
51	115143.3	89605.43	84214.0	42222.84	75181.12	36806.0	869.82	881.81	391.31	419.0	1738.0	446.31	552.0	1516.0	13451.5	D4	not_seq	not_seq_D4	True	False	True	False	False	True	False	True	False	True	False	False	True	False	False	False	False	False	MPP
52	98464.5	88057.88	73281.0	41767.832	78694.125	34784.0	876.36005	538.46	480.69	363.0	1320.0	259.26	521.60004	4177.6	13656.1	C4	not_seq	not_seq_C4	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
53	191979.89	117758.88	106842.0	76297.26	90491.84	55256.0	664.9	1464.9601	890.53	629.0	4155.0	8245.86	2240.8	4372.0	13864.4	C5	not_seq	not_seq_C5	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
