	Plate_Well	celltype
511	AS-197_F16	GMP
512	AS-197_F15	GMP
513	AS-197_F14	GMP
514	AS-197_F13	CMP
515	AS-197_F12	MEP
516	AS-197_F11	GMP
517	AS-197_F10	GMP
518	AS-197_F9	MEP
519	AS-197_F8	GMP2
520	AS-197_F7	GMP
521	AS-197_G7	HSC
522	AS-197_G6	MEP
523	AS-197_G5	CMP
524	AS-197_G4	CMP
525	AS-197_G3	MEP
526	AS-197_G2	MEP
527	AS-197_G1	GMP
528	AS-197_H1	GMP
529	AS-197_H2	CMP
530	AS-197_H3	MEP
531	AS-197_H4	GMP
532	AS-197_H5	CMP
533	AS-197_H6	HSC
534	AS-197_H7	MPP
535	AS-197_H8	GMP2
536	AS-197_G8	MEP
537	AS-197_G9	GMP
538	AS-197_G10	GMP
539	AS-197_G11	GMP2
540	AS-197_G12	GMP2
541	AS-197_G13	MEP
542	AS-197_G14	GMP
543	AS-197_G15	GMP
544	AS-197_G16	MEP
545	AS-197_G17	HSC
546	AS-197_G18	GMP
547	AS-197_G19	GMP
548	AS-197_G20	GMP
549	AS-197_G21	GMP2
550	AS-197_G22	GMP
551	AS-197_G23	GMP
552	AS-197_G24	GMP
553	AS-197_H24	GMP
554	AS-197_H23	GMP
555	AS-197_H22	CMP
556	AS-197_H21	MPP
557	AS-197_H20	MEP
558	AS-197_H19	CMP
559	AS-197_H18	CMP
560	AS-197_H17	GMP
561	AS-197_H16	GMP
562	AS-197_H15	GMP
563	AS-197_H14	GMP
564	AS-197_H13	LSC
565	AS-197_H12	GMP
566	AS-197_H11	MEP
567	AS-197_H10	GMP
568	AS-197_H9	MEP
569	AS-197_I9	GMP
570	AS-197_I8	CMP
571	AS-197_I7	MPP
572	AS-197_I6	GMP
573	AS-197_I5	GMP2
574	AS-197_I4	GMP
575	AS-197_I3	GMP
576	AS-197_I2	LMPP
577	AS-197_I1	CMP
578	AS-197_J1	GMP
579	AS-197_J2	GMP
580	AS-197_J3	LMPP
581	AS-197_J4	GMP
582	AS-197_J5	GMP2
583	AS-197_J6	GMP
584	AS-197_J7	MEP
585	AS-197_J8	MEP
586	AS-197_J9	MPP
587	AS-197_J10	LMPP
588	AS-197_I10	GMP
589	AS-197_I11	LSC
590	AS-197_I12	GMP
591	AS-197_I13	MEP
592	AS-197_I14	GMP
593	AS-197_I15	CMP
594	AS-197_I16	GMP
595	AS-197_I17	GMP
596	AS-197_I18	GMP
597	AS-197_I19	GMP
598	AS-197_I20	CMP
599	AS-197_I21	GMP
600	AS-197_I22	MEP
601	AS-197_I23	GMP
602	AS-197_I24	GMP
603	AS-197_J24	MPP
604	AS-197_J23	MEP
605	AS-197_J22	GMP
606	AS-197_J21	GMP2
607	AS-197_J20	MEP
608	AS-197_J19	MEP
609	AS-197_J18	MPP
610	AS-197_J17	GMP
611	AS-197_J16	MEP
612	AS-197_J15	GMP
613	AS-197_J14	MEP
614	AS-197_J13	GMP
615	AS-197_J12	GMP
616	AS-197_J11	GMP2
617	AS-197_K11	GMP2
618	AS-197_K10	MEP
619	AS-197_K9	GMP
620	AS-197_K8	GMP
621	AS-197_K7	CMP
622	AS-197_K6	GMP
623	AS-197_K5	MEP
624	AS-197_K4	GMP
625	AS-197_K3	GMP
626	AS-197_K2	GMP
627	AS-197_K1	GMP2
628	AS-197_L1	MEP
629	AS-197_L2	GMP
630	AS-197_L3	HSC
631	AS-197_L4	GMP
632	AS-197_L5	GMP
633	AS-197_L6	MEP
634	AS-197_L7	GMP
635	AS-197_L8	LMPP
636	AS-197_L9	LMPP
637	AS-197_L10	GMP2
638	AS-197_L11	GMP2
639	AS-197_L12	MEP
640	AS-197_K12	GMP
641	AS-197_K13	CMP
642	AS-197_K14	GMP
643	AS-197_K15	MEP
644	AS-197_K16	MPP
645	AS-197_K17	GMP2
646	AS-197_K18	LMPP
647	AS-197_K19	GMP
648	AS-197_K20	CMP
649	AS-197_K21	LMPP
650	AS-197_K22	MPP
651	AS-197_K23	MEP
652	AS-197_K24	GMP
653	AS-197_L24	GMP
654	AS-197_L23	MPP
655	AS-197_L22	GMP2
656	AS-197_L21	MEP
657	AS-197_L20	LMPP
658	AS-197_L19	GMP
659	AS-197_L18	MEP
660	AS-197_L17	MEP
661	AS-197_L16	GMP
662	AS-197_L15	GMP
663	AS-197_L14	MPP
664	AS-197_L13	MPP
665	AS-197_M13	GMP
666	AS-197_M12	GMP
667	AS-197_M11	MEP
668	AS-197_M10	GMP
669	AS-197_M9	GMP2
670	AS-197_M8	MEP
671	AS-197_M7	CMP
672	AS-197_M6	GMP
673	AS-197_M5	GMP
674	AS-197_M4	LSC
675	AS-197_M3	HSC
676	AS-197_M2	unassigned
677	AS-197_M1	GMP
678	AS-197_N1	MPP
679	AS-197_N2	GMP
680	AS-197_N3	GMP
681	AS-197_N4	GMP
682	AS-197_N5	LSC
683	AS-197_N6	MEP
684	AS-197_N7	GMP2
685	AS-197_N8	GMP2
686	AS-197_N9	CMP
687	AS-197_N10	GMP
688	AS-197_N11	GMP
689	AS-197_N12	GMP
690	AS-197_N13	GMP
691	AS-197_N14	GMP
692	AS-197_M14	GMP
693	AS-197_M15	GMP
694	AS-197_M16	GMP
695	AS-197_M17	CMP
696	AS-197_M18	GMP
697	AS-197_M19	GMP
698	AS-197_M20	GMP
699	AS-197_M21	GMP
700	AS-197_M22	GMP
701	AS-197_M23	MEP
702	AS-197_M24	GMP2
703	AS-197_N24	GMP
704	AS-197_N23	GMP2
705	AS-197_N22	GMP
706	AS-197_N21	GMP
707	AS-197_N20	GMP
708	AS-197_N19	LMPP
709	AS-197_N18	GMP
710	AS-197_N17	GMP
711	AS-197_N16	GMP2
712	AS-197_N15	GMP
713	AS-197_O15	HSC
714	AS-197_O14	GMP
715	AS-197_O13	GMP
716	AS-197_O12	GMP
717	AS-197_O11	LMPP
718	AS-197_O10	MEP
719	AS-197_O9	MPP
720	AS-197_O8	GMP
721	AS-197_O7	GMP
722	AS-197_O6	MEP
723	AS-197_O5	MEP
724	AS-197_O4	MEP
725	AS-197_O3	GMP
726	AS-197_O2	GMP
727	AS-197_O1	MEP
728	AS-197_P1	GMP
729	AS-197_P2	MPP
