	Plate_Well	celltype
366	not_seq_NE1_O18	NE
367	not_seq_NE1_O19	NE
368	not_seq_NE1_O20	NE
369	not_seq_NE1_O21	NE
370	not_seq_NE1_O22	NE
371	not_seq_NE1_O23	NE
372	not_seq_NE1_O24	NE
373	not_seq_NE1_P24	NE
374	not_seq_NE1_P23	NE
375	not_seq_NE1_P22	NE
376	not_seq_NE1_P21	NE
377	not_seq_NE1_P20	NE
378	not_seq_NE1_P19	NE
379	not_seq_NE1_P18	NE
380	not_seq_NE1_P17	NE
381	AS-189_A2	NE
382	AS-189_A3	NE
383	AS-189_A4	NE
384	AS-189_A5	NE
385	AS-189_A6	NE
386	AS-189_A7	NE
387	AS-189_A8	NE
388	AS-189_A9	NE
389	AS-189_A10	NE
390	AS-189_A11	NE
391	AS-189_A12	NE
392	AS-189_A13	NE
393	AS-189_A14	NE
394	AS-189_A15	NE
395	AS-189_A16	NE
396	AS-189_A17	NE
397	AS-189_A18	NE
398	AS-189_A19	NE
399	AS-189_A20	NE
400	AS-189_A21	NE
401	AS-189_A22	NE
402	AS-189_A23	NE
403	AS-189_A24	NE
404	AS-189_B24	NE
405	AS-189_B23	NE
406	AS-189_B22	NE
407	AS-189_B21	NE
408	AS-189_B20	NE
409	AS-189_B19	NE
410	AS-189_B18	NE
411	AS-189_B17	NE
412	AS-189_B16	NE
413	AS-189_B15	NE
414	AS-189_B14	NE
415	AS-189_B13	NE
416	AS-189_B12	NE
417	AS-189_B11	NE
418	AS-189_B10	NE
419	AS-189_B9	NE
420	AS-189_B8	NE
421	AS-189_B7	NE
422	AS-189_B6	NE
423	AS-189_B5	NE
424	AS-189_B4	NE
425	AS-189_B3	NE
426	AS-189_C2	NE
427	AS-189_C1	NE
428	AS-189_B1	NE
429	AS-189_D1	NE
430	AS-189_D2	NE
431	AS-189_D3	NE
432	AS-189_D4	NE
433	AS-189_C4	NE
434	AS-189_C5	NE
435	AS-189_C6	NE
436	AS-189_C7	NE
437	AS-189_C8	NE
438	AS-189_C9	NE
439	AS-189_C10	NE
440	AS-189_C11	NE
441	AS-189_C12	NE
442	AS-189_C13	NE
443	AS-189_C14	NE
444	AS-189_C15	NE
445	AS-189_C16	NE
446	AS-189_C17	NE
447	AS-189_C18	NE
448	AS-189_C19	NE
449	AS-189_C20	NE
450	AS-189_C21	NE
451	AS-189_C22	NE
452	AS-189_C23	NE
453	AS-189_C24	NE
454	AS-189_D24	NE
455	AS-189_D23	NE
456	AS-189_D22	NE
457	AS-189_D21	NE
458	AS-189_D20	NE
459	AS-189_D19	NE
460	AS-189_D18	NE
461	AS-189_D17	NE
462	AS-189_D16	NE
463	AS-189_D15	NE
464	AS-189_D14	NE
465	AS-189_D13	NE
466	AS-189_D12	NE
467	AS-189_D11	NE
468	AS-189_D10	NE
469	AS-189_D9	NE
470	AS-189_D8	NE
471	AS-189_D7	NE
472	AS-189_D6	NE
473	AS-189_D5	NE
474	AS-189_E5	NE
475	AS-189_E4	NE
476	AS-189_E3	NE
477	AS-189_E2	NE
478	AS-189_E1	NE
479	AS-189_F1	NE
480	AS-189_F2	NE
481	AS-189_F3	NE
482	AS-189_F4	NE
483	AS-189_F5	NE
484	AS-189_F6	NE
485	AS-189_E6	NE
486	AS-189_E7	NE
487	AS-189_E8	NE
488	AS-189_E9	NE
489	AS-189_E10	NE
490	AS-189_E11	NE
491	AS-189_E12	NE
492	AS-189_E13	NE
493	AS-189_E14	NE
494	AS-189_E15	NE
495	AS-189_E16	NE
496	AS-189_E17	NE
497	AS-189_E18	NE
498	AS-189_E19	NE
499	AS-189_E20	NE
500	AS-189_E21	NE
501	AS-189_E22	NE
502	AS-189_E23	NE
503	AS-189_E24	NE
504	AS-189_F24	NE
505	AS-189_F23	NE
506	AS-189_F22	NE
507	AS-189_F21	NE
508	AS-189_F20	NE
509	AS-189_F19	NE
510	AS-189_F18	NE
511	AS-189_F17	NE
512	AS-189_F16	NE
513	AS-189_F15	NE
514	AS-189_F14	NE
515	AS-189_F13	NE
516	AS-189_F12	NE
517	AS-189_F11	NE
518	AS-189_F10	NE
519	AS-189_F9	NE
520	AS-189_F8	NE
521	AS-189_F7	NE
522	AS-189_G7	NE
523	AS-189_G6	NE
524	AS-189_G5	NE
525	AS-189_G4	NE
526	AS-189_G3	NE
527	AS-189_G2	NE
528	AS-189_G1	NE
529	AS-189_H1	NE
530	AS-189_H2	NE
531	AS-189_H3	NE
532	AS-189_H4	NE
533	AS-189_H5	NE
534	AS-189_H6	NE
535	AS-189_H7	NE
536	AS-189_H8	NE
537	AS-189_G8	NE
538	AS-189_G9	NE
539	AS-189_G10	NE
540	AS-189_G11	NE
541	AS-189_G12	NE
542	AS-189_G13	NE
543	AS-189_G14	NE
544	AS-189_G15	NE
545	AS-189_G16	NE
546	AS-189_G17	NE
547	AS-189_G18	NE
548	AS-189_G19	NE
549	AS-189_G20	NE
550	AS-189_G21	NE
551	AS-189_G22	NE
552	AS-189_G23	NE
553	AS-189_G24	NE
554	AS-189_H24	NE
555	AS-189_H23	NE
556	AS-189_H22	NE
557	AS-189_H21	NE
558	AS-189_H20	NE
559	AS-189_H19	NE
560	AS-189_H18	NE
561	AS-189_H17	NE
562	AS-189_H16	NE
563	AS-189_H15	NE
564	AS-189_H14	NE
565	AS-189_H13	NE
566	AS-189_H12	NE
567	AS-189_H11	NE
568	AS-189_H10	NE
569	AS-189_H9	NE
570	AS-189_I9	NE
571	AS-189_I8	NE
572	AS-189_I7	NE
573	AS-189_I6	NE
574	AS-189_I5	NE
575	AS-189_I4	NE
576	AS-189_I3	NE
577	AS-189_I2	NE
578	AS-189_I1	NE
579	AS-189_J1	NE
580	AS-189_J2	NE
581	AS-189_J3	NE
582	AS-189_J4	NE
583	AS-189_J5	NE
584	AS-189_J6	NE
585	AS-189_J7	NE
586	AS-189_J8	NE
587	AS-189_J9	NE
588	AS-189_J10	NE
589	AS-189_I10	NE
590	AS-189_I11	NE
591	AS-189_I12	NE
592	AS-189_I13	NE
593	AS-189_I14	NE
594	AS-189_I15	NE
595	AS-189_I16	NE
596	AS-189_I17	NE
597	AS-189_I18	NE
598	AS-189_I19	NE
599	AS-189_I20	NE
600	AS-189_I21	NE
601	AS-189_I22	NE
602	AS-189_I23	NE
603	AS-189_I24	NE
604	AS-189_J24	NE
605	AS-189_J23	NE
606	AS-189_J22	NE
607	AS-189_J21	NE
608	AS-189_J20	NE
609	AS-189_J19	NE
610	AS-189_J18	NE
611	AS-189_J17	NE
612	AS-189_J16	NE
613	AS-189_J15	NE
614	AS-189_J14	NE
615	AS-189_J13	NE
616	AS-189_J12	NE
617	AS-189_J11	NE
618	AS-189_K11	NE
619	AS-189_K10	NE
620	AS-189_K9	NE
621	AS-189_K8	NE
622	AS-189_K7	NE
623	AS-189_K6	NE
624	AS-189_K5	NE
625	AS-189_K4	NE
626	AS-189_K3	NE
627	AS-189_K2	NE
628	AS-189_K1	NE
629	AS-189_L1	NE
630	AS-189_L2	NE
631	AS-189_L3	NE
632	AS-189_L4	NE
633	AS-189_L5	NE
634	AS-189_L6	NE
635	AS-189_L7	NE
636	AS-189_L8	NE
637	AS-189_L9	NE
638	AS-189_L10	NE
639	AS-189_L11	NE
640	AS-189_L12	NE
641	AS-189_K12	NE
642	AS-189_K13	NE
643	AS-189_K14	NE
644	AS-189_K15	NE
645	AS-189_K16	NE
646	AS-189_K17	NE
647	AS-189_K18	NE
648	AS-189_K19	NE
649	AS-189_K20	NE
650	AS-189_K21	NE
651	AS-189_K22	NE
652	AS-189_K23	NE
653	AS-189_K24	NE
654	AS-189_L24	NE
655	AS-189_L23	NE
